,,lower,upper,gi,gk,Energy [cm^-1],fij(l),fij(v),Aij(l),Aij(v),lower,upper,Upper -> lower,Reversed (R) or ok (O) ,Wavelength (NIST energies),Wavelength (MCDHF energies)
4p,3d,4p-1D2,3d-3D1,5,3,6858.12,6.963E-04,8.513E-04,7.28E+03,8.90E+03,Ar(4p'[3/2]2),Ar(3d[3/2]1),Ar(3d[3/2]1)->Ar(4p'[3/2]2),O,1458.14,1458.13
4p,3d,4p-1D2,3d-1P1,5,3,8415.92,0.0312,0.02587,4.91E+05,4.07E+05,Ar(4p'[3/2]2),Ar(3d'[3/2]1),Ar(3d'[3/2]1)->Ar(4p'[3/2]2),O,1238.06,1188.22
4p,3d,4p-3D2,3d-3P2,5,5,7195.11,0.00821,0.00972,5.87E+04,6.72E+04,Ar(4p[5/2]2),Ar(3d[3/2]2),Ar(3d[3/2]2)->Ar(4p[5/2]2),O,1533.35,1389.83
4p,3d,4p-3D2,3d-3F2,5,5,7773.93,0.8678,0.8678,7.00E+06,6.87E+06,Ar(4p[5/2]2),Ar(3d[5/2]2),Ar(3d[5/2]2)->Ar(4p[5/2]2),O,1280.62,1286.35
4p,3d,4p-3D2,3d-1D2,5,5,8974.47,0.048,0.03551,5.16E+05,3.82E+05,Ar(4p[5/2]2),Ar(3d'[5/2]2),Ar(3d'[5/2]2)->Ar(4p[5/2]2),O,1108.19,1114.27
4p,3d,4p-3D2,3d-3D2,5,5,9101.82,0.0205,0.01469,2.27E+05,1.62E+05,Ar(4p[5/2]2),Ar(3d'[3/2]2),Ar(3d'[3/2]2)->Ar(4p[5/2]2),O,1088.39,1098.68
4p,3d,4p-3P2,3d-3P2,5,5,6602.09,0.8442,1.13787,4.91E+06,6.62E+06,Ar(4p[3/2]2),Ar(3d[3/2]2),Ar(3d[3/2]2)->Ar(4p[3/2]2),O,1694.52,1514.67
4p,3d,4p-3P2,3d-3F2,5,5,7180.91,0.05608,0.06444,3.86E+05,4.43E+05,Ar(4p[3/2]2),Ar(3d[5/2]2),Ar(3d[5/2]2)->Ar(4p[3/2]2),O,1391.13,1392.58
4p,3d,4p-3P2,3d-1D2,5,5,8381.45,3.524E-03,2.910E-03,3.30E+04,2.73E+04,Ar(4p[3/2]2),Ar(3d'[5/2]2),Ar(3d'[5/2]2)->Ar(4p[3/2]2),O,1189.99,1193.11
4p,3d,4p-3P2,3d-3D2,5,5,8508.8,0.31702,0.25717,3.06E+06,2.48E+06,Ar(4p[3/2]2),Ar(3d'[3/2]2),Ar(3d'[3/2]2)->Ar(4p[3/2]2),O,1167.19,1175.25
4p,3d,4p-1D2,3d-3P2,5,5,5526.51,0.17771,0.34209,7.24E+05,1.39E+06,Ar(4p'[3/2]2),Ar(3d[3/2]2),Ar(3d[3/2]2)->Ar(4p'[3/2]2),O,2062.19,1809.46
4p,3d,4p-1D2,3d-3F2,5,5,6105.32,1.127E-03,1.868E-03,5.61E+03,9.29E+03,Ar(4p'[3/2]2),Ar(3d[5/2]2),Ar(3d[5/2]2)->Ar(4p'[3/2]2),O,1629.66,1637.92
4p,3d,4p-1D2,3d-1D2,5,5,7305.86,0.27724,0.30529,1.97E+06,2.17E+06,Ar(4p'[3/2]2),Ar(3d'[5/2]2),Ar(3d'[5/2]2)->Ar(4p'[3/2]2),O,1360.31,1368.76
4p,3d,4p-1D2,3d-3D2,5,5,7433.21,0.22465,0.23848,1.66E+06,1.76E+06,Ar(4p'[3/2]2),Ar(3d'[3/2]2),Ar(3d'[3/2]2)->Ar(4p'[3/2]2),O,1330.59,1345.31
4p,3d,4p-3D2,3d-3F3,5,7,7419.84,3.32815,3.58343,1.75E+07,1.88E+07,Ar(4p[5/2]2),Ar(3d[7/2]3),Ar(3d[7/2]3)->Ar(4p[5/2]2),O,1350.79,1347.74
4p,3d,4p-3D2,3d-1F3,5,7,7881.17,0.13714,0.12948,8.12E+05,7.66E+05,Ar(4p[5/2]2),Ar(3d[5/2]3),Ar(3d[5/2]3)->Ar(4p[5/2]2),O,1234.68,1268.85
4p,3d,4p-3D2,3d-3D3,5,7,9069.41,8.195E-03,5.656E-03,6.42E+04,4.43E+04,Ar(4p[5/2]2),Ar(3d'[5/2]3),Ar(3d'[5/2]3)->Ar(4p[5/2]2),O,1086.41,1102.61
4p,3d,4p-3P2,3d-3F3,5,7,6826.82,1.957E-03,2.686E-03,8.69E+03,1.19E+04,Ar(4p[3/2]2),Ar(3d[7/2]3),Ar(3d[7/2]3)->Ar(4p[3/2]2),O,1474.32,1464.81
4p,3d,4p-3P2,3d-1F3,5,7,7288.15,2.85489,3.15458,1.45E+07,1.60E+07,Ar(4p[3/2]2),Ar(3d[5/2]3),Ar(3d[5/2]3)->Ar(4p[3/2]2),O,1337.08,1372.09
4p,3d,4p-3P2,3d-3D3,5,7,8476.39,0.02611,0.02124,1.79E+05,1.45E+05,Ar(4p[3/2]2),Ar(3d'[5/2]3),Ar(3d'[5/2]3)->Ar(4p[3/2]2),O,1164.91,1179.75
4p,3d,4p-1D2,3d-3F3,5,7,5751.23,8.149E-05,9.762E-05,2.57E+02,3.08E+02,Ar(4p'[3/2]2),Ar(3d[7/2]3),Ar(3d[7/2]3)->Ar(4p'[3/2]2),O,1745.0,1738.76
4p,3d,4p-1D2,3d-1F3,5,7,6212.56,5.962E-07,9.716E-07,2.19289,3.57369,Ar(4p'[3/2]2),Ar(3d[5/2]3),Ar(3d[5/2]3)->Ar(4p'[3/2]2),O,1555.97,1609.64
4p,3d,4p-1D2,3d-3D3,5,7,7400.8,3.67883,3.94317,1.92E+07,2.06E+07,Ar(4p'[3/2]2),Ar(3d'[5/2]3),Ar(3d'[5/2]3)->Ar(4p'[3/2]2),O,1327.63,1351.21
4p,3d,4p-3D3,3d-3P2,7,5,7343.65,0.10948,0.11916,7.88E+05,8.57E+05,Ar(4p[5/2]3),Ar(3d[3/2]2),Ar(3d[3/2]2)->Ar(4p[5/2]3),O,1497.87,1361.72
4p,3d,4p-3D3,3d-3F2,7,5,7922.47,0.05326,0.0498,4.46E+05,4.17E+05,Ar(4p[5/2]3),Ar(3d[5/2]2),Ar(3d[5/2]2)->Ar(4p[5/2]3),O,1255.78,1262.23
4p,3d,4p-3D3,3d-1D2,7,5,9123.01,5.667E-04,3.997E-04,6.29E+04,4.44E+04,Ar(4p[5/2]3),Ar(3d'[5/2]2),Ar(3d'[5/2]2)->Ar(4p[5/2]3),O,1089.53,1096.13
4p,3d,4p-3D3,3d-3D2,7,5,9250.36,0.019,0.01303,2.17E+05,1.49E+05,Ar(4p[5/2]3),Ar(3d'[3/2]2),Ar(3d'[3/2]2)->Ar(4p[5/2]3),O,1070.39,1081.04
4p,3d,4p-3D3,3d-3F3,7,7,7568.38,0.45173,0.46299,2.47E+06,2.53E+06,Ar(4p[5/2]3),Ar(3d[7/2]3),Ar(3d[7/2]3)->Ar(4p[5/2]3),O,1323.17,1321.29
